blink_count,mean_ibi,ibi_std,target
8,1.4260785579681396,0.4751551570861256,1
9,1.0005449950695038,0.5460517658876849,1
10,1.0047886371612549,0.3590810213740188,1
5,1.5599421858787537,0.9230157087962843,1
7,1.5245153506596882,1.2337840215534266,1
5,1.8986197710037231,0.9789989998108551,1
5,2.3402501940727234,1.6454976345148131,1
6,1.9765424251556396,0.8771199443199155,1
10,0.8318776554531522,0.2768371930108434,1
7,1.4555816650390625,0.8429475650386531,1
7,1.3872005144755046,0.700285484655136,1
10,1.0868552260928683,0.4250053114629613,1
8,1.2477632931300573,0.5914591278848893,1
8,1.2925605773925781,1.0052690623326155,1
10,0.9935308032565646,0.22531299142174782,1
8,1.2028807231358118,0.5631789975213538,1
6,1.9761911869049071,1.9228171600442885,1
9,1.2480157315731049,0.5256785997791273,1
5,1.726200520992279,1.4252030601387007,1
5,2.2346152663230896,1.1128205872997656,1
6,1.9335450172424316,1.0601585757213998,1
8,1.4114721502576555,0.7985619020099257,1
6,1.8927767753601075,0.7628109843366102,1
5,1.7698925733566284,0.6428039291101452,1
5,2.4694292545318604,0.50456490648059,1
8,1.411679438182286,0.7316552748389882,1
5,2.4948962330818176,1.5533174931627163,1
5,2.2340264916419983,1.0687722356267204,1
5,2.391004979610443,1.462584883001248,1
2,3.3287007808685303,0.0,1
4,1.698574384053548,0.7196375226382211,1
7,1.5251535177230835,0.3781624956732909,1
6,1.5183354377746583,0.814578827775273,1
4,3.050302028656006,2.217955013987085,1
8,1.1887918540409632,0.5069002863216874,1
6,1.539585781097412,0.9919505277496988,1
4,3.1208199659983316,0.7245874364185299,1
3,3.7986220121383667,2.3441489934921265,1
2,14.6636221408844,0.0,1
4,3.155259370803833,1.386853603916577,1
7,1.4385338226954143,0.3768143361198371,1
10,1.0052034589979384,0.430349904272854,1
10,1.0864397949642606,0.29491986677630244,1
7,1.4897559881210327,0.5240031463141434,1
6,1.5602827548980713,0.8481122295182933,1
8,1.4263231073107039,0.5791993910877845,1
5,2.1848790049552917,2.1013453123805026,1
4,1.0733240445454915,0.12821698397310538,1
5,2.0033607482910156,0.7796941672095183,1
4,3.1546479860941568,2.4797260687141116,1
7,1.5418776671091716,0.48264553664249205,1
4,3.154679616292318,2.55528194897322,1
4,2.9811533292134604,1.354611375287431,1
3,4.836353540420532,3.381774663925171,1
5,2.2879287600517273,1.4958759260531291,1
6,1.850935173034668,1.4824528622834705,1
6,1.664334774017334,0.7411777917103993,1
4,3.224913994471232,1.5745192553453977,1
2,5.302727937698364,0.0,1
2,3.017198085784912,0.0,1
3,0.7269715070724487,0.31113946437835693,1
2,1.454442024230957,0.0,1
4,2.2547897497812905,1.2747963796883524,1
3,2.756593108177185,1.821053147315979,1
4,1.5608227252960205,0.956725284753716,1
6,1.434361982345581,0.8671162698789748,1
2,9.359808921813965,0.0,1
3,3.690788984298706,2.442352056503296,1
4,3.085160414377848,0.9398787259597857,1
5,2.3129894137382507,0.966832540060803,1
2,1.35223388671875,0.0,1
7,1.4724746942520142,0.24987875468737272,1
5,2.1052709817886353,0.8494121346503997,1
3,4.575821399688721,3.8484435081481934,1
3,3.4298559427261353,0.2095879316329956,1
7,1.1606926520665486,0.4761131864685674,1
4,3.119425376256307,1.9145922199765484,1
4,2.185066302617391,1.6181575260402485,1
5,2.1068387627601624,1.0486627565972373,1
6,1.9755030155181885,0.3995132270454332,1
2,8.526575803756714,0.0,1
6,1.622578763961792,0.5909288386286708,1
5,2.210932493209839,0.9990458360532846,1
6,1.976294183731079,0.8922810087159583,1
7,1.5767364501953125,1.091373673684017,1
5,2.1840503215789795,0.7468710080330503,1
2,4.8877339363098145,0.0,1
4,1.2834021250406902,0.550826821519021,1
4,3.0179080168406167,0.9180578368901802,1
5,2.444156587123871,2.651553126493908,1
4,2.911071300506592,1.1868025231128678,1
5,1.639014720916748,0.5326228012664064,1
3,2.9634865522384644,2.132928490638733,1
3,3.380080461502075,2.548485517501831,1
5,1.5324400067329407,0.7378287740356299,1
3,3.6422064304351807,2.0817034244537354,1
4,2.773322661717733,1.7490154383498757,1
2,8.837285041809082,0.0,1
3,3.951751470565796,1.2465283870697021,1
6,1.892229175567627,1.0647649672163422,1
6,1.976638174057007,0.747014458528967,1
4,2.460865338643392,0.7679554402857894,1
8,1.3523805822644914,0.66766047313385,1
3,4.316902041435242,2.8579081296920776,1
6,1.64338059425354,0.694075492983272,1
3,4.2102789878845215,1.0904488563537598,1
6,1.953729772567749,1.5984705396593304,1
7,1.5451016823450725,0.6843060944653557,1
4,3.2257210413614907,3.2508739018217505,1
4,2.357807715733846,0.9358969987862265,1
7,1.5939288139343262,1.1327043963172272,1
7,1.403965989748637,0.35394015693011455,1
3,3.325790524482727,0.001408696174621582,1
4,2.981501261393229,2.7531298901201966,1
7,1.490163008371989,1.2933641941694327,1
5,2.3127857446670532,1.2834988435533286,1
